CNT_NAME,REG_NAME,ACCOM_NAME,ACCOM_REV_POS,ACCOM_REV_NEG,score
캐나다,몬트리올,Kyriad Carcassonne - Aeroport,15,1,4.44
캐나다,몬트리올,P'tit Dej-Hotel Carcassonne,5,0,4.4
캐나다,나이아가라 폭포,데이즈 인 앤 스위트 바이 윈덤 나이아가라 폴스 센터 스트리트 바이 더 폴스 (Days Inn & Suites by Wyndham Niagara Falls Centre St. By the Falls),7,1,4.29
캐나다,나이아가라 폭포,더 폴스 호텔 앤 인 (The Falls Hotel & Inn),2,0,4.32
캐나다,나이아가라 폭포,데이즈 인 바이 윈덤 나이아가라 폴스 니어 더 폴스 (Days Inn by Wyndham Niagara Falls Near The Falls),20,7,3.95
캐나다,나이아가라 폭포,이코노 로지 바이 더 폴스 (Econo Lodge By the Falls),1,0,4.29
캐나다,나이아가라 폭포,하워드 존슨 플라자 바이 윈덤 바이 더 폴스 나이아가라 폴스 (Howard Johnson Plaza by Wyndham by the Falls Niagara Falls),3,0,4.35
캐나다,나이아가라 폭포,"컨트리 인 앤 스위트 바이 래디슨, 나이아가라 폴스, On (Country Inn & Suites by Radisson, Niagara Falls, ON)",2,0,4.32
태국,방콕,Eastin Grand Hotel Phayathai,16,7,3.85
태국,방콕,"The Westin Grande Sukhumvit, Bangkok",21,4,4.23
태국,방콕,Ramada Plaza by Wyndham Bangkok Sukhumvit 48,9,2,4.2
태국,방콕,방콕 시티 호텔 (SHA Extra Plus) (Bangkok City Hotel (SHA Extra Plus)),12,12,3.33
태국,방콕,칼튼 호텔 방콕 수쿰윗 (SHA Extra Plus) (Carlton Hotel Bangkok Sukhumvit (SHA Extra Plus)),19,6,4.01
태국,방콕,그랜드 BS 에어포트 호텔 수완나품 (Grand BS Airport Hotel Suvarnabhumi),14,13,3.33
태국,방콕,"Sheraton Grande Sukhumvit, a Luxury Collection Hotel, Bangkok",18,8,3.82
태국,방콕,모벤픽 호텔 수쿰윗 15 방콕 (Mövenpick Hotel Sukhumvit 15 Bangkok),16,10,3.61
태국,방콕,Aspira 12th Avenue Asoke Sukhumvit,17,11,3.56
태국,방콕,Grande Centre Point Hotel Terminal 21,20,7,3.95
태국,푸켓,만다라바 리조트 앤 스파 카론 비치 (SHA Plus+) (Mandarava Resort and Spa Karon Beach (SHA Plus+)),20,7,3.95
태국,푸켓,Anantara Koh Yao Yai Resort & Villas,1,0,4.29
태국,푸켓,Woovo Phuket Patong,1,0,4.29
태국,푸켓,빌라 알라나 푸켓 (Villa Alanna Phuket),7,0,4.44
태국,푸켓,JW Marriott Phuket Resort & Spa,19,4,4.19
태국,푸켓,푸켓 그레이스랜드 리조트 앤 스파 (SHA Plus+) (Phuket Graceland Resort & Spa (SHA Plus+)),18,9,3.74
태국,푸켓,Four Points by Sheraton Phuket Patong Beach Resort,18,7,3.9
태국,푸켓,칼리마 리조트 앤 스파 (SHA Extra plus) (Kalima Resort & Spa (SHA Extra plus)),21,4,4.23
