ATTR_CODE,SCORE,ATTR_REV_POS,ATTR_REV_NEG
AT1092,4.39,29,1
AT1093,4.41,29,1
AT1094,4.78,30,0
AT1095,4.43,29,1
AT1096,4.41,30,0
AT1097,4.2,28,2
AT1098,4.41,30,0
AT1099,4.14,9,1
AT1100,4.78,30,0
AT1101,3.86,26,4
AT1102,4.47,10,0
AT1103,4.49,30,0
AT1104,4.45,30,0
AT1105,4.78,30,0
AT1106,3.59,8,2
AT1107,4.53,10,0
AT1108,3.96,9,1
AT1109,4.37,9,1
AT1110,4.69,30,0
AT1111,4.47,29,1
AT1112,4.49,28,2
AT1113,4.39,28,2
AT1114,4.08,9,1
AT1115,4.53,10,0
AT1116,4.02,9,1
AT1117,4.86,30,0
AT1118,4.76,10,0
AT1119,3.43,23,7
AT1120,3.82,25,5
AT1121,3.82,25,5
AT1122,4.47,10,0
AT1123,4.18,8,2
AT1124,4.67,30,0
AT1125,4.88,30,0
AT1126,4.51,29,1
AT1127,4.65,10,0
AT1128,4.73,30,0
AT1129,4.2,1,0
AT1130,4.59,10,0
AT1131,4.61,9,0
AT1132,4.14,9,1
AT1133,4.12,6,1
AT1134,4.2,1,0
AT1135,4.82,30,0
AT1136,4.59,10,0
AT1137,3.59,8,2
AT1138,4.12,28,2
AT1139,4.33,30,0
AT1140,4.47,30,0
AT1141,4.51,29,1
AT1142,3.63,1,1
AT1143,4.02,28,2
AT1144,4.22,3,0
AT1145,3.78,27,3
AT1146,4.51,30,0
AT1147,4.57,30,0
AT1148,4.49,30,0
AT1149,4.82,10,0
AT1150,4.37,20,0
AT1151,4.06,8,2
AT1152,4.88,10,0
AT1153,3.55,7,3
AT1154,4.63,30,0
AT1155,4.25,30,0
AT1156,3.63,30,0
AT1157,3.57,30,0
AT1158,5.0,30,0
AT1159,4.33,30,0
AT1160,4.69,30,0
AT1161,4.57,30,0
AT1162,4.84,30,0
AT1163,3.86,26,4
AT1164,4.45,30,0
AT1165,3.55,24,6
AT1166,4.57,28,2
AT1167,4.69,30,0
AT1168,4.22,28,2
AT1169,4.39,28,2
AT1170,4.59,29,1
AT1171,4.55,30,0
AT1172,4.43,30,0
AT1173,3.29,22,8
AT1174,4.25,28,2
AT1175,4.31,29,1
AT1176,4.08,27,3
AT1177,4.59,30,0
AT1178,4.35,28,2
AT1179,4.55,30,0
AT1180,3.67,24,6
AT1181,4.51,28,2
AT1182,3.37,23,7
AT1183,4.02,9,1
AT1184,4.14,28,2
AT1185,4.16,28,2
AT1186,4.39,29,1
AT1187,3.0,22,8
AT1188,2.86,20,10
AT1189,4.88,10,0
AT1190,3.39,24,6
AT1191,4.27,28,2
AT1192,4.45,28,2
AT1193,4.24,29,1
AT1194,4.22,28,2
AT1195,4.73,30,0
AT1196,4.24,26,4
AT1197,4.08,9,1
AT1198,3.96,9,1
AT1199,4.88,10,0
AT1200,4.22,30,0
AT1201,4.14,9,1
AT1202,3.47,8,2
AT1203,4.88,10,0
AT1204,4.75,30,0
AT1205,4.84,30,0
AT1206,4.76,30,0
AT1207,4.37,29,1
AT1208,4.76,10,0
AT1209,4.71,10,0
AT1210,4.0,8,2
AT1211,4.82,30,0
AT1212,4.49,28,2
AT1213,4.82,10,0
AT1214,4.0,8,2
AT1215,4.51,28,2
AT1216,4.18,27,3
AT1217,3.51,6,4
AT1218,3.67,25,5
AT1219,4.2,9,1
AT1220,4.14,27,3
AT1221,4.65,10,0
AT1222,3.59,26,4
AT1223,3.1,6,4
AT1224,4.71,10,0
AT1225,4.71,10,0
AT1226,3.67,7,3
AT1227,4.65,30,0
AT1228,4.65,10,0
AT1229,4.67,9,1
AT1230,3.25,7,3
AT1231,4.43,9,1
AT1232,4.24,8,2
AT1233,4.47,29,1
AT1234,4.88,30,0
AT1235,4.65,10,0
AT1236,4.82,4,0
AT1237,3.96,9,1
AT1238,3.41,2,2
AT1239,4.71,30,0
AT1240,3.73,7,3
AT1241,4.53,30,0
AT1242,4.16,28,2
AT1243,4.98,30,0
