ACCOM_CODE,SCORE,ACCOM_REV_POS,ACCOM_REV_NEG
AC1162,3.13,3,0
AC1163,2.64,3,0
AC1164,2.93,3,3
AC1165,3.87,15,0
AC1166,3.7,15,0
AC1167,3.28,14,1
AC1168,3.05,6,0
AC1169,3.48,15,0
AC1170,3.67,15,0
AC1171,3.43,5,1
AC1172,3.05,6,0
AC1173,3.13,3,0
AC1174,3.21,15,0
AC1175,3.46,12,0
AC1176,3.48,14,1
AC1177,3.79,9,0
AC1178,4.08,12,0
AC1179,3.52,13,2
AC1180,1.56,5,10
AC1181,3.43,13,1
AC1182,3.23,10,5
AC1183,3.36,11,4
AC1184,3.26,21,9
AC1185,3.21,37,21
AC1186,4.33,53,6
AC1187,3.57,41,19
AC1188,1.77,3,6
AC1189,4.0,27,3
AC1190,1.82,20,39
AC1191,3.05,9,6
AC1192,2.18,9,12
AC1193,3.97,48,12
AC1194,4.08,12,0
AC1195,4.36,45,6
AC1196,3.18,23,4
AC1197,3.8,27,3
AC1198,4.11,27,3
AC1199,3.77,33,9
AC1200,4.28,51,6
AC1201,3.46,41,18
AC1202,3.39,37,17
AC1203,2.79,13,10
AC1204,1.75,0,3
AC1205,1.7,3,3
AC1206,3.95,9,0
AC1207,3.51,41,17
AC1208,2.11,3,6
AC1209,3.0,15,6
AC1210,4.1,50,10
AC1211,2.77,6,6
AC1212,3.36,39,21
AC1213,2.64,3,0
AC1214,2.74,32,28
AC1215,2.43,3,6
AC1216,3.41,41,19
AC1217,3.92,45,14
AC1218,2.9,33,24
AC1219,3.62,41,19
AC1220,2.85,34,26
AC1221,4.25,53,7
AC1222,3.34,11,1
AC1223,3.13,3,0
AC1224,2.69,1,1
AC1225,2.25,0,3
AC1226,3.66,13,2
AC1227,3.95,14,0
AC1228,2.1,4,8
AC1229,2.72,7,7
AC1230,3.84,12,0
AC1231,3.33,11,4
AC1232,3.34,10,4
AC1233,2.9,9,5
AC1234,3.56,12,2
AC1235,3.3,12,3
AC1236,3.02,9,3
AC1237,2.31,3,4
AC1238,3.79,9,0
AC1239,3.05,9,4
AC1240,2.82,2,0
AC1241,2.9,13,2
AC1242,2.69,7,7
AC1243,2.11,2,5
AC1244,2.69,2,2
AC1245,3.26,9,3
AC1246,3.34,10,1
AC1247,4.25,24,0
AC1248,3.85,11,0
AC1249,2.72,8,7
AC1250,3.77,45,15
AC1251,3.95,47,12
AC1252,4.11,49,9
AC1253,4.51,52,3
AC1254,3.34,40,20
AC1255,3.44,41,19
AC1256,3.97,47,12
AC1257,4.75,57,0
AC1258,3.95,46,8
AC1259,1.89,1,2
AC1260,3.23,38,21
AC1261,3.38,37,18
AC1262,3.49,43,17
AC1263,4.62,55,3
AC1264,3.98,48,10
AC1265,3.79,9,0
AC1266,4.23,52,7
AC1267,3.9,46,14
AC1268,5.0,59,1
AC1269,4.48,50,4
AC1270,3.75,44,16
AC1271,3.85,41,13
AC1272,4.49,55,5
AC1273,4.38,52,7
